Code;Libellé;Nb d'emplois au lieu de travail (LT) 2021;Part des emplois sal. dans le nb d’emplois au LT 2021;Population municipale 2022
57463;Metz;81803;91.3;121695
57480;Montigny-lès-Metz;4948;87.6;21869
57631;Sarreguemines;16448;92.7;20324
57672;Thionville;19824;90.4;42778
58194;Nevers;21336;91.5;33172
59009;Villeneuve-d'Ascq;55941;94.2;62342
59017;Armentières;9975;91.8;26107
59122;Cambrai;18161;89.8;31568
59155;Coudekerque-Branche;4937;91.9;20833
59163;Croix;7599;88.2;20956
59172;Denain;7804;92.7;20622
59178;Douai;25629;92.4;39833
59183;Dunkerque;44544;92.3;87013
59271;Grande-Synthe;12518;96.5;20347
59279;Halluin;4128;88;20684
59295;Hazebrouck;9229;90.4;21785
59328;Lambersart;7289;84.3;27105
59350;Lille;179741;90.8;238695
59360;Loos;8406;91.3;22948
59368;La Madeleine;9119;87.9;22161
59378;Marcq-en-Barœul;22484;90.2;39943
59392;Maubeuge;15394;92.6;28879
59410;Mons-en-Barœul;4961;89;21368
59512;Roubaix;38050;90.6;99507
59599;Tourcoing;27975;89.2;99160
59606;Valenciennes;33053;92.2;42979
59646;Wasquehal;12344;92.5;20674
59650;Wattrelos;8063;88.7;40881
60057;Beauvais;39101;93;55906
60159;Compiègne;26506;91.1;40808
60175;Creil;14715;92.6;36494
60463;Nogent-sur-Oise;5360;92.6;21859
61001;Alençon;18043;91.6;25667
62041;Arras;34484;92.7;42621
62119;Béthune;16826;91.2;25342
62160;Boulogne-sur-Mer;22443;91;41039
62178;Bruay-la-Buissière;7847;92.4;21997
62193;Calais;31362;91.5;67585
62427;Hénin-Beaumont;12468;93.4;25764
62498;Lens;21409;93.5;32697
62510;Liévin;11105;92.8;30113
63113;Clermont-Ferrand;108066;91.1;147751
63124;Cournon-d'Auvergne;9998;88.3;20020
64024;Anglet;19444;82.1;42288
64102;Bayonne;34858;85.3;53312
64122;Biarritz;14419;73.2;25810
64445;Pau;52310;87.8;78620
65440;Tarbes;28396;88.3;44529
66136;Perpignan;69573;86.1;120996
67180;Haguenau;23876;91.7;36070
67218;Illkirch-Graffenstaden;15980;92.1;27339
67267;Lingolsheim;4296;84.3;20683
67447;Schiltigheim;19858;91.3;34382
67482;Strasbourg;176642;89.4;291709
68066;Colmar;46505;90.8;67360
68224;Mulhouse;55842;90.4;104924
68297;Saint-Louis;10150;92.6;22530
69029;Bron;25382;93.5;42850
69034;Caluire-et-Cuire;13325;84.1;43479
69091;Givors;6901;90.7;20943
69123;Lyon;349589;87;520774
69149;Oullins-Pierre-Bénite;16808;90.2;37928
69202;Sainte-Foy-lès-Lyon;5169;80.7;21893
69204;Saint-Genis-Laval;9657;87.4;21329
69244;Tassin-la-Demi-Lune;6794;81.3;22819
69256;Vaulx-en-Velin;20818;90.2;52448
69259;Vénissieux;28136;91.6;66701
69264;Villefranche-sur-Saône;20178;87.4;36224
69266;Villeurbanne;63371;89.2;162207
69275;Décines-Charpieu;11176;87.9;29905
69282;Meyzieu;13943;89.4;36437
69286;Rillieux-la-Pape;11341;88.7;31479
69290;Saint-Priest;40733;93.1;49193
71076;Chalon-sur-Saône;31231;90.7;44592
71153;Le Creusot;11222;91;20536
71270;Mâcon;27015;90.7;34759
72181;Le Mans;84865;91.7;145182
73008;Aix-les-Bains;13249;83.6;32175
73065;Chambéry;42390;89.1;60251
74010;Annecy;74158;85.5;131272
74012;Annemasse;13380;85.3;37595
74281;Thonon-les-Bains;15463;85.8;37689
75056;Paris;1890489;85.6;2113705
76217;Dieppe;16265;90.2;28599
76322;Le Grand-Quevilly;10284;93.5;25954
76351;Le Havre;72268;91.2;166462
76451;Mont-Saint-Aignan;11725;91.7;20188
76498;Le Petit-Quevilly;7866;92.1;21935
76540;Rouen;89165;90.3;116331
76575;Saint-Étienne-du-Rouvray;15784;94.7;28653
76681;Sotteville-lès-Rouen;10465;91.8;29039
77058;Bussy-Saint-Georges;9451;88.8;26334
77083;Champs-sur-Marne;10513;91.6;26661
77108;Chelles;14059;87.4;54372
77122;Combs-la-Ville;5388;89.7;22712
77152;Dammarie-les-Lys;6324;91.2;23252
77243;Lagny-sur-Marne;7504;86.9;21433
77284;Meaux;22983;90.4;56659
77288;Melun;25746;91.9;43685
77294;Mitry-Mory;9808;91.7;20393
77305;Montereau-Fault-Yonne;8928;91.4;21840
77350;Ozoir-la-Ferrière;4882;83.8;20969
77373;Pontault-Combault;9958;86.6;38941
77390;Roissy-en-Brie;7305;90.3;23521
77445;Savigny-le-Temple;6824;91.3;30630
77468;Torcy;7870;91;22939
77514;Villeparisis;5146;87.3;26794
78005;Achères;4669;89.7;21663
78126;La Celle-Saint-Cloud;3524;79.5;20440
78146;Chatou;6643;81.1;30054
78158;Le Chesnay-Rocquencourt;11689;88.1;31064
78172;Conflans-Sainte-Honorine;8713;86.2;36306
78208;Élancourt;13565;93.9;26348
78297;Guyancourt;35673;96.4;29758
78311;Houilles;5413;79.5;33617
78358;Maisons-Laffitte;6753;82.5;22855
78361;Mantes-la-Jolie;14786;89.9;44246
78362;Mantes-la-Ville;4753;90.2;21874
78423;Montigny-le-Bretonneux;23024;93.3;32150
78440;Les Mureaux;12408;93;34151
78490;Plaisir;14009;92.3;31971
78498;Poissy;23087;93.1;40792
78517;Rambouillet;12869;88.4;27145
78545;Saint-Cyr-l'École;3373;85.4;20451
78551;Saint-Germain-en-Laye;18372;86.2;45286
78586;Sartrouville;11526;87.5;51570
78621;Trappes;16704;93.1;34276
78640;Vélizy-Villacoublay;39907;96;22481
